Date,GEX,SPX,Return,Magnitude
2/2/09,-227931483,825.44,-0.00053277,0.00053277
2/3/09,-187123743,838.51,0.01583398,0.01583398
2/4/09,-224240449,832.23,-0.00748948,0.00748948
2/5/09,-140730578,845.85,0.01636567,0.01636567
2/6/09,-73126884,868.6,0.02689602,0.02689602
2/9/09,-33768240,869.89,0.00148515,0.00148515
2/10/09,-216423686,827.16,-0.04912115,0.04912115
2/11/09,-174694722,833.74,0.00795493,0.00795493
2/12/09,-160650286,835.19,0.00173915,0.00173915
2/13/09,-199869900,826.84,-0.00999773,0.00999773
2/17/09,-451572607,789.17,-0.045559,0.045559
2/18/09,-427879540,788.42,-0.00095037,0.00095037
2/19/09,-327940354,778.94,-0.01202405,0.01202405
2/20/09,-351324083,770.05,-0.01141295,0.01141295
2/23/09,-364155629,743.33,-0.03469905,0.03469905
2/24/09,-343685354,773.14,0.04010332,0.04010332
2/25/09,-370688119,764.9,-0.01065784,0.01065784
2/26/09,-379526155,752.83,-0.01577984,0.01577984
2/27/09,-428100353,735.09,-0.02356442,0.02356442
3/2/09,-361015028,700.82,-0.04662014,0.04662014
3/3/09,-523892484,696.33,-0.00640678,0.00640678
3/4/09,-493374443,712.87,0.02375311,0.02375311
3/5/09,-367198237,682.55,-0.0425323,0.0425323
3/6/09,-376896957,683.38,0.00121603,0.00121603
3/9/09,-482744740,676.53,-0.01002371,0.01002371
3/10/09,-361055332,719.6,0.0636631,0.0636631
3/11/09,-357634319,721.36,0.0024458,0.0024458
3/12/09,-116964859,750.74,0.04072862,0.04072862
3/13/09,-85479816,756.55,0.00773903,0.00773903
3/16/09,-27050284,753.89,-0.00351596,0.00351596
3/17/09,31026443,778.12,0.03213997,0.03213997
3/18/09,151736841,794.35,0.02085797,0.02085797
3/19/09,-26961932,784.04,-0.01297917,0.01297917
3/20/09,-64872578,768.54,-0.0197694,0.0197694
3/23/09,33805710,822.92,0.07075754,0.07075754
3/24/09,10724322,806.12,-0.02041511,0.02041511
3/25/09,25162371,813.88,0.00962636,0.00962636
3/26/09,69555874,832.86,0.02332039,0.02332039
3/27/09,20418266,815.94,-0.02031554,0.02031554
3/30/09,-48453201,787.53,-0.03481874,0.03481874
3/31/09,9337333,797.87,0.01312966,0.01312966
4/1/09,15092018,811.08,0.01655658,0.01655658
4/2/09,75518289,834.38,0.02872713,0.02872713
4/3/09,109557307,842.5,0.00973178,0.00973178
4/6/09,115106157,835.48,-0.00833234,0.00833234
4/7/09,42519194,815.55,-0.02385455,0.02385455
4/8/09,102259700,825.16,0.01178346,0.01178346
4/9/09,201326696,856.56,0.03805323,0.03805323
4/13/09,240324532,858.73,0.00253339,0.00253339
4/14/09,173012107,841.5,-0.02006451,0.02006451
4/15/09,229974503,852.06,0.01254902,0.01254902
4/16/09,66949413,865.3,0.01553881,0.01553881
4/17/09,102092857,869.6,0.00496937,0.00496937
4/20/09,-374720,832.39,-0.04278979,0.04278979
4/21/09,70659416,850.08,0.02125206,0.02125206
4/22/09,85446075,843.55,-0.00768163,0.00768163
4/23/09,85155883,851.92,0.00992235,0.00992235
4/24/09,105913256,866.23,0.01679735,0.01679735
4/27/09,90315728,857.51,-0.01006661,0.01006661
4/28/09,78425061,855.16,-0.00274049,0.00274049
4/29/09,150346465,873.64,0.02160999,0.02160999
4/30/09,146544031,872.81,-0.00095005,0.00095005
5/1/09,158945367,877.52,0.00539636,0.00539636
5/4/09,235906693,907.24,0.03386817,0.03386817
5/5/09,257647267,903.8,-0.00379172,0.00379172
5/6/09,278625660,919.53,0.01740429,0.01740429
5/7/09,254334150,907.39,-0.0132024,0.0132024
5/8/09,220965973,929.23,0.02406903,0.02406903
5/11/09,224619261,909.24,-0.02151244,0.02151244
5/12/09,162349949,908.35,-0.00097884,0.00097884
5/13/09,38372611,883.92,-0.02689492,0.02689492
5/14/09,-28060062,893.07,0.01035162,0.01035162
5/15/09,-47965138,882.88,-0.01141008,0.01141008
5/18/09,41042570,909.71,0.03038918,0.03038918
5/19/09,41464669,908.13,-0.00173682,0.00173682
5/20/09,37133055,903.47,-0.00513142,0.00513142
5/21/09,-9740066,888.33,-0.01675761,0.01675761
5/22/09,-2436602,887,-0.00149719,0.00149719
5/26/09,89322108,910.33,0.02630214,0.02630214
5/27/09,32077735,893.06,-0.01897114,0.01897114
5/28/09,77943926,906.83,0.0154189,0.0154189
5/29/09,149245340,919.14,0.01357476,0.01357476
6/1/09,227079232,942.87,0.02581761,0.02581761
6/2/09,250575987,944.74,0.00198331,0.00198331
6/3/09,310976500,931.76,-0.01373923,0.01373923
6/4/09,234503790,942.46,0.01148364,0.01148364
6/5/09,400774369,940.09,-0.0025147,0.0025147
6/8/09,229506891,939.14,-0.00101054,0.00101054
6/9/09,170877982,942.43,0.00350321,0.00350321
6/10/09,292453816,939.15,-0.00348036,0.00348036
6/11/09,159102644,944.89,0.00611191,0.00611191
6/12/09,174996683,946.21,0.00139699,0.00139699
6/15/09,-39805183,923.72,-0.02376851,0.02376851
6/16/09,148627039,911.97,-0.0127203,0.0127203
6/17/09,-246834819,910.71,-0.00138162,0.00138162
6/18/09,86887057,918.37,0.00841102,0.00841102
6/19/09,417859788,921.23,0.00311421,0.00311421
6/22/09,-67937410,893.04,-0.03060039,0.03060039
6/23/09,-159559227,895.1,0.00230673,0.00230673
6/24/09,-384248296,900.94,0.00652441,0.00652441
6/25/09,36876549,920.26,0.02144427,0.02144427
6/26/09,77885687,918.9,-0.00147784,0.00147784
6/29/09,146897929,927.23,0.00906519,0.00906519
