DATE,GEX,GXV,VIX,DIX,SPX
01/16/2024,-88679514,21.38,13.82,47.8,4765.98
01/12/2024,241168025,12.99,12.61,49.8,4783.83
01/11/2024,289688190,12.93,12.49,50.6,4780.24
01/10/2024,68099449,15.91,12.72,50.6,4783.45
01/09/2024,-63090993,20.72,12.81,49.9,4756.5
01/08/2024,-4667035,19.37,13.02,47.8,4763.54
01/05/2024,-553789006,22.32,13.42,48.5,4697.24
01/04/2024,-693874585,21.96,14.1,45.9,4688.68
01/03/2024,-582833287,22.27,13.95,46.7,4704.81
01/02/2024,-303659745,20.15,13.24,47.1,4742.83
12/29/2023,62307589,15.91,12.46,48.1,4769.83
12/28/2023,382406639,11.17,12.44,47.7,4783.35
12/27/2023,481363425,10.58,12.37,49.6,4781.58
12/26/2023,492811986,10.62,12.99,47.9,4774.75
12/22/2023,297977325,11.91,13.02,49,4754.63
12/21/2023,248672174,12.78,13.61,47.1,4746.75
12/20/2023,-198580540,20.27,13.78,48,4698.35
12/19/2023,573625826,11.09,12.51,48,4768.37
12/18/2023,464017476,12.69,12.52,46.1,4740.56
12/15/2023,431819301,14.99,12.29,49.7,4719.19
12/14/2023,850704814,9,12.46,44.3,4719.55
12/13/2023,1590704532,7.56,12.23,46.8,4707.09
12/12/2023,1205182527,8.63,12.08,48.6,4643.7
12/11/2023,834903873,9.18,12.66,50.7,4622.44
12/08/2023,694330875,9.77,12.47,50.4,4604.37
12/07/2023,534070211,11.28,13.07,49.8,4585.59
12/06/2023,-67252416,21.37,13,49.8,4549.34
12/05/2023,228220265,14.13,12.89,48.1,4567.1802
12/04/2023,316442600,14.25,13.01,45.5,4569.78
12/01/2023,698665315,9.99,12.63,45.5,4594.63
11/30/2023,403381054,14.53,12.83,48,4567.8
11/29/2023,140307954,14.04,12.95,48,4550.58
11/28/2023,366852493,11.92,12.64,46.5,4554.89
11/27/2023,370663770,11.74,12.69,47,4550.43
11/24/2023,561210356,9.7,12.46,46.9,4559.34
11/22/2023,624568849,9.26,12.9,49.3,4556.62
11/21/2023,332601433,12.69,13.33,48.6,4538.19
11/20/2023,409540883,12.12,13.45,49.7,4547.38
11/17/2023,344364419,12.3,13.79,46.6,4514.02
11/16/2023,277608384,13.82,14.32,47.5,4508.24
11/15/2023,713406331,9.95,14.11,49.7,4502.88
11/14/2023,611487162,10.74,14.13,48.2,4495.7
11/13/2023,340518556,11.78,14.81,48.4,4411.55
11/10/2023,139966333,14.2,14.21,47.9,4415.24
11/09/2023,-348814303,21.33,15.34,49.5,4347.35
11/08/2023,266962591,13.17,14.45,49.4,4382.78
11/07/2023,272860333,13.27,14.84,46.4,4378.38
11/06/2023,196775257,13.95,14.91,48.5,4365.98
11/03/2023,254866506,14.46,15.09,46.7,4358.34
11/02/2023,32156983,18.38,15.67,46.8,4317.78
11/01/2023,-625214163,23.34,16.85,47.4,4237.86
10/31/2023,-951332550,21.64,18.04,45.4,4193.8
10/30/2023,-1233618207,21.81,19.73,44.8,4166.82
10/27/2023,-1402992096,22.09,21.32,44.8,4117.37
10/26/2023,-1576035287,23.12,21.06,44.8,4137.23
10/25/2023,-1397421152,21.86,20.53,47.3,4186.77
10/24/2023,-1149273506,21.58,19.01,46.6,4247.68
10/23/2023,-1270470888,21.65,20.51,46.6,4217.04
10/20/2023,-1345905343,22.1,21.44,48.5,4224.16
10/19/2023,-1118957826,21.89,20.7,48,4278
10/18/2023,-1093083299,21.46,19.48,49.5,4314.6
10/17/2023,-402640827,21.66,17.88,50.6,4373.2
10/16/2023,-331352313,20.84,17.27,48.7,4373.63
10/13/2023,-891822824,21.43,19.31,48.7,4327.78
10/12/2023,-639149706,21.6,16.78,46.5,4349.61
10/11/2023,-317552942,20.63,16.29,47.2,4376.95
10/10/2023,-421629219,21.29,17.08,44,4358.24
10/09/2023,-650538707,21.55,17.74,47.3,4335.66
10/06/2023,-870181730,22.2,17.52,48.7,4308.5
10/05/2023,-1242294210,21.53,18.39,47.9,4258.19
10/04/2023,-1250139831,21.76,18.42,47.9,4263.75
10/03/2023,-1462960202,22.1,19.99,50.4,4229.45
10/02/2023,-1162163058,22.06,17.59,49.9,4288.39
09/29/2023,-1212250982,22,17.6,46.8,4288.05
09/28/2023,-1484228547,21.95,17.34,45.1,4299.7
09/27/2023,-1628222267,22.06,18.4,45,4274.51
09/26/2023,-1724573562,21.76,19.21,46.3,4273.53
09/25/2023,-1440952417,21.9,16.9,46.3,4337.44
09/22/2023,-1608805558,21.89,17.1,48.9,4320.06
09/21/2023,-1710001029,21.91,17.2,45.8,4329.95
09/20/2023,-1306106668,21.81,14.99,46.9,4401.81
09/19/2023,-928033108,21.35,14.12,48.7,4443.95
09/18/2023,-816209226,21.14,14.04,50.2,4452.17
09/15/2023,-848404038,35.39,13.9,54.6,4450.67
09/14/2023,-51873181,21,12.8,52,4505.17
09/13/2023,-318318351,20.61,13.48,52,4467.44
09/12/2023,-699747809,21.51,14.23,51.9,4461.9
09/11/2023,-194757023,18.86,13.85,45.7,4487.46
09/08/2023,-694669687,21.58,13.95,48.3,4457.49
09/07/2023,-798627624,21.56,14.51,47.4,4451.14
09/06/2023,-634821583,21.12,14.39,48.5,4465.48
09/05/2023,-239080370,19.66,13.93,46.8,4496.83
09/01/2023,32285364,17.05,13.09,49.9,4515.77
08/31/2023,4019589,19.33,13.56,48.4,4507.66
08/30/2023,132500668,13.31,13.86,48.4,4514.87
08/29/2023,50132035,16.24,14.43,45,4497.63
08/28/2023,-485511616,21.1,15.09,48.1,4433.31
08/25/2023,-767815774,20.8,15.69,48,4405.71
08/24/2023,-1037302570,21.86,17.01,49.4,4376.31
08/23/2023,-525356739,22.37,16.06,46.5,4436.01
08/22/2023,-912070991,21.58,16.96,47.8,4387.55
08/21/2023,-947646300,21.85,17.02,48.4,4399.77
08/18/2023,-1110773542,22.3,17.34,45.1,4369.71
08/17/2023,-1287389833,22.37,17.85,47.1,4370.36
08/16/2023,-1178644500,22.13,16.67,49.2,4404.33
08/15/2023,-1171464315,22.23,16.27,51.3,4437.86
08/14/2023,-668520199,21.96,14.89,48.2,4489.72
08/11/2023,-877692117,22.22,15.07,48.8,4464.05
08/10/2023,-997893646,24.62,15.89,47.4,4468.83
08/09/2023,-979478736,22.11,16.05,47.4,4467.71
08/08/2023,-834403300,22.48,16.08,45.7,4499.38
08/07/2023,-633346155,21.25,15.84,45.9,4518.44
08/04/2023,-975425132,23.05,17.24,48.3,4478.03
08/03/2023,-945740130,23.22,16.28,48.2,4501.89
08/02/2023,-736034944,23.52,16.07,47.8,4513.39
08/01/2023,21032548,18.36,13.87,47.5,4576.73
07/31/2023,197726993,15.39,13.61,46.7,4588.96
