"ReferenceTime","GEX","spot","future"
2024-01-17 08:30:04,-353770397.792927,4735.35,4767.75
2024-01-17 08:31:03,-414418685.586893,4732.55,4767.5
2024-01-17 08:32:02,-420263808.021568,4731.59,4768.5
2024-01-17 08:33:03,-466955689.806437,4729.86,4766
2024-01-17 08:34:03,-497532396.518897,4728.22,4765.75
2024-01-17 08:35:02,-624049881.931882,4727.99,4765.25
2024-01-17 08:36:03,-514716987.369773,4728.86,4765.75
2024-01-17 08:37:02,-515251358.999289,4729.15,4765.5
2024-01-17 08:38:01,-446127086.367978,4730.32,4765.25
2024-01-17 08:39:02,-454417989.213825,4731.14,4765.75
2024-01-17 08:40:01,-399407032.751677,4732.1,4765.25
2024-01-17 08:41:03,-446610997.919525,4730.25,4765
2024-01-17 08:42:02,-449834985.546121,4731.22,4764.75
2024-01-17 08:43:02,-469802583.066645,4729.45,4762.25
2024-01-17 08:44:03,-510817722.546417,4728.6,4761.25
2024-01-17 08:45:02,-630299851.486264,4727.58,4761.5
2024-01-17 08:46:02,-498558514.457576,4728.69,4761.5
2024-01-17 08:47:03,-514773380.705509,4726.98,4761.75
2024-01-17 08:48:02,-526590292.960855,4726.94,4763
2024-01-17 08:49:02,-477076779.813152,4727.15,4764.25
2024-01-17 08:50:02,-399271844.851738,4728.56,4764.5
2024-01-17 08:51:02,-438071289.912647,4727.8,4763
2024-01-17 08:52:03,-446124165.784884,4727.52,4763.5
2024-01-17 08:53:02,-407889302.011848,4727.62,4761.75
2024-01-17 08:54:02,-358050647.73018,4731.15,4761.25
2024-01-17 08:55:03,-337739697.81335,4728.36,4759.5
2024-01-17 08:56:01,-373416652.382947,4728.38,4761
2024-01-17 08:57:03,-448553159.547474,4727.05,4759.75
2024-01-17 08:58:02,-414450969.069361,4727.08,4759.75
2024-01-17 08:59:02,-380652918.025667,4727.64,4760
2024-01-17 09:00:02,-324552804.389668,4728.85,4760.25
2024-01-17 09:01:03,-363349166.481242,4726.71,4760.25
2024-01-17 09:01:52,-376065299.137131,4727.51,4760.25
2024-01-17 09:03:02,-338708744.325661,4729.88,4761
2024-01-17 09:04:02,-180700046.44767,4732.93,4763.5
2024-01-17 09:05:03,-219838581.925417,4732.72,4760.5
2024-01-17 09:06:02,-203229043.748192,4732.95,4761
2024-01-17 09:07:02,-184685796.228337,4734.91,4759
2024-01-17 09:08:02,-132012506.019207,4736.13,4759
2024-01-17 09:09:01,-134503365.710973,4736.45,4760
2024-01-17 09:10:02,-209581432.195412,4733.49,4760
2024-01-17 09:11:03,-191935996.984922,4733.93,4759.25
2024-01-17 09:12:03,-145559813.182145,4736.14,4760.5
2024-01-17 09:13:02,-181328910.995942,4734.24,4761.75
2024-01-17 09:14:02,-152374627.757735,4735.47,4764.75
2024-01-17 09:15:02,-119241283.96282,4736.48,4764.5
2024-01-17 09:16:02,-134005938.847642,4735.49,4765.5
2024-01-17 09:17:02,-166228932.401583,4734.19,4766.75
2024-01-17 09:18:02,-148637452.933539,4733.94,4767.25
2024-01-17 09:19:03,-143143546.801583,4734.59,4768
2024-01-17 09:20:03,-311766167.288387,4730.49,4765.75
2024-01-17 09:21:02,-363877083.545211,4730.33,4766
2024-01-17 09:22:03,-356439424.25475,4730.34,4768.5
2024-01-17 09:23:02,-373337760.631448,4730.36,4766.5
2024-01-17 09:24:03,-363592204.808661,4729.72,4767.75
2024-01-17 09:25:03,-310210100.831019,4731.51,4768.75
2024-01-17 09:26:03,-261294059.863455,4733.52,4767
2024-01-17 09:27:02,-199085071.507088,4735.13,4765
2024-01-17 09:28:02,-217892564.1148,4736.66,4766
2024-01-17 09:29:03,-224416802.804464,4735.21,4766.5
2024-01-17 09:30:03,-275537480.938869,4733.67,4762
2024-01-17 09:31:03,-267833347.722892,4732.42,4761.5
2024-01-17 09:32:02,-262181487.70226,4734.23,4763
2024-01-17 09:33:03,-289671616.587687,4733.41,4761.75
2024-01-17 09:34:02,-259942654.412183,4734.53,4762.25
2024-01-17 09:35:02,-264619541.874701,4734.75,4763.75
2024-01-17 09:36:02,-301258664.692737,4732.08,4765.25
2024-01-17 09:37:03,-230816822.111596,4733.29,4766
2024-01-17 09:38:01,-167432649.535235,4736.66,4768.25
2024-01-17 09:39:02,-161005419.130427,4736.77,4767
2024-01-17 09:40:03,-84047049.1330338,4737.72,4765.25
2024-01-17 09:41:02,-132752566.400689,4737.83,4764.25
2024-01-17 09:42:02,-103120351.399402,4737.58,4765.75
2024-01-17 09:43:01,-110747792.70394,4738.3,4765
2024-01-17 09:44:03,-157331087.417727,4736.58,4766
2024-01-17 09:45:03,-209160645.411339,4735.78,4766.5
2024-01-17 09:46:02,-215782135.545856,4735.93,4764
2024-01-17 09:47:02,-166273816.396012,4737.59,4765
2024-01-17 09:48:01,-117161087.705062,4738.11,4768.5
2024-01-17 09:49:03,-216696863.091462,4735.87,4768.25
2024-01-17 09:50:02,-163042908.489873,4736.94,4769.5
2024-01-17 09:51:02,-175324260.034558,4737.14,4769.5
2024-01-17 09:52:01,-158920981.836899,4737.44,4769.5
2024-01-17 09:53:02,-156285489.760462,4736.17,4770.25
2024-01-17 09:54:02,-202338024.817984,4736.17,4768.5
2024-01-17 09:55:03,-259079818.029915,4734.83,4767.5
2024-01-17 09:56:03,-282589087.52861,4734.85,4768.25
2024-01-17 09:57:02,-301106254.869989,4734.52,4770
2024-01-17 09:58:01,-314425790.020911,4734.29,4769.75
2024-01-17 09:59:02,-302915407.038356,4734.78,4769.75
2024-01-17 09:59:34,-281729178.340464,4735.42,4769.25
2024-01-17 10:01:03,-165062797.958649,4738.25,4769
2024-01-17 10:02:02,-155026782.050251,4739.02,4769.5
2024-01-17 10:03:03,-94320965.7218757,4739.67,4768.25
2024-01-17 10:04:05,-61533393.3440485,4740.35,4768.25
2024-01-17 10:05:04,286637.067495346,4741.7,4766.75
2024-01-17 10:06:01,16585683.8824267,4742.85,4766.5
2024-01-17 10:07:02,10240579.0198865,4743.6,4766.5
2024-01-17 10:08:04,15857787.0815649,4742.91,4766.25
2024-01-17 10:09:03,-4772439.74106693,4741.57,4767.25
2024-01-17 10:10:04,-38651433.9698076,4741.32,4768
2024-01-17 10:11:02,-57837524.3061056,4742.09,4770.5
2024-01-17 10:12:02,-35535475.2782426,4742.78,4771.75
2024-01-17 10:13:02,-24843837.6482601,4741.94,4771.5
2024-01-17 10:14:03,-42703854.6261306,4740.77,4772.25
2024-01-17 10:15:03,-38687186.9851327,4740.32,4773.5
2024-01-17 10:16:04,-4136923.24162865,4740.68,4774.75
2024-01-17 10:17:02,-101623512.765703,4739.87,4774.5
2024-01-17 10:18:03,-111577881.014238,4739.83,4774.5
2024-01-17 10:19:02,-34725153.8094869,4740.79,4773.5
2024-01-17 10:20:03,-125494560.941332,4740.76,4773.25
2024-01-17 10:21:03,-150070126.755397,4741.29,4773.5
2024-01-17 10:22:03,-163683839.063981,4741.43,4774.75
2024-01-17 10:23:03,-80725935.5458856,4743.48,4773.25
2024-01-17 10:24:02,-111343082.08302,4743.27,4772.5
2024-01-17 10:25:02,-108569592.468734,4743.45,4772.25
2024-01-17 10:26:03,-51713571.3257394,4743.95,4772.25
2024-01-17 10:27:02,-55716560.5566416,4743.79,4771.5
2024-01-17 10:28:03,-134101150.53376,4742.19,4771.75
2024-01-17 10:29:03,-113196793.893791,4742.82,4773
2024-01-17 10:30:02,-191685888.961676,4741.35,4772.5
2024-01-17 10:31:03,-208597776.568398,4740.37,4773.5
2024-01-17 10:32:02,-184787201.568205,4740.14,4773.5
2024-01-17 10:33:02,-142341600.337601,4742.08,4775.5
2024-01-17 10:34:03,-157840414.217901,4741.69,4775.25
2024-01-17 10:35:01,-146796981.685843,4742.73,4775.25
2024-01-17 10:36:02,-91891871.6999784,4743.83,4775.75
2024-01-17 10:37:02,-124043156.704732,4742.85,4775.25
2024-01-17 10:38:02,970843.585962296,4743.93,4773.75
2024-01-17 10:39:02,-58478807.7051692,4743.39,4774.75
2024-01-17 10:40:02,-56773274.5860715,4743.81,4773.25
2024-01-17 10:41:02,-67583036.1992068,4743.28,4772.75
2024-01-17 10:42:02,-90298312.308342,4743.13,4772
2024-01-17 10:43:01,-168616428.305054,4742.26,4774
2024-01-17 10:44:02,-83201590.6761956,4743.07,4773.5
2024-01-17 10:45:04,-53307156.7159572,4743.39,4774.75
2024-01-17 10:46:01,-19543905.5124841,4743.99,4775.25
2024-01-17 10:46:37,-139059200.249605,4743.49,4774.25
2024-01-17 10:48:02,-153142811.30829,4742.5,4775.25
2024-01-17 10:49:03,-184869221.725055,4741.58,4775.25
2024-01-17 10:50:03,-184770155.01437,4741.39,4775.5
2024-01-17 10:51:02,-309167960.10926,4738.83,4774.75
2024-01-17 10:52:03,-388304019.395523,4737.8,4774.75
2024-01-17 10:53:02,-314478921.396502,4738.68,4773.75
2024-01-17 10:54:04,-313669220.296597,4738.68,4774.75
2024-01-17 10:55:02,-312402856.412868,4738.39,4775.25
2024-01-17 10:56:03,-318575434.853705,4738.22,4775.5
2024-01-17 10:57:02,-339098216.2925,4737.88,4774.25
2024-01-17 10:58:02,-329483647.821925,4738.57,4774.25
2024-01-17 10:59:03,-360947798.884148,4738.27,4773.25
2024-01-17 11:00:03,-372073370.698129,4737.98,4773
2024-01-17 11:01:02,-353617257.089381,4738.31,4770
2024-01-17 11:02:02,-389109191.009393,4738.07,4769.25
2024-01-17 11:03:01,-386254659.648194,4737.69,4770.5
2024-01-17 11:04:01,-411269155.474681,4736.56,4770.25
2024-01-17 11:05:02,-338986800.820011,4735.46,4770
2024-01-17 11:06:02,-310202116.470328,4735.4,4770.25
2024-01-17 11:07:03,-297604718.697646,4735.73,4769.75
2024-01-17 11:08:02,-321791079.830486,4735.13,4770.25
2024-01-17 11:09:03,-345832198.428792,4734.77,4770
2024-01-17 11:10:03,-352756648.084639,4734.48,4769.5
2024-01-17 11:11:02,-354220741.148922,4734.51,4770
2024-01-17 11:12:02,-348140195.887446,4734.96,4770
2024-01-17 11:13:02,-285479141.336798,4736.26,4769.75
2024-01-17 11:14:02,-246177618.147162,4737.71,4768.5
2024-01-17 11:15:02,-201560168.512538,4736.7,4767.25
2024-01-17 11:16:02,-257339119.578627,4736.51,4767
2024-01-17 11:17:01,-285261198.28962,4736.38,4768
2024-01-17 11:18:02,-340697728.171917,4735.27,4767
2024-01-17 11:19:02,-329408772.487448,4735.13,4766.25
2024-01-17 11:20:01,-317328241.003965,4735.66,4766
2024-01-17 11:21:02,-349375496.532208,4734.59,4766.75
2024-01-17 11:22:02,-366234263.083931,4733.83,4766.75
2024-01-17 11:23:02,-377598884.185115,4733.07,4768.75
2024-01-17 11:24:03,-412257041.311468,4731.72,4769.75
2024-01-17 11:25:03,-388968635.27195,4731.63,4768.75
2024-01-17 11:26:03,-435789867.184599,4731.84,4767.5
2024-01-17 11:27:02,-416787668.610931,4731.66,4768.25
2024-01-17 11:28:02,-444228591.979211,4730.39,4767.25
2024-01-17 11:29:02,-429594243.183326,4730.61,4767.25
2024-01-17 11:30:04,-450745437.758314,4730.73,4767
2024-01-17 11:31:02,-496587698.336015,4730.54,4766.25
2024-01-17 11:32:02,-406992054.602353,4732.27,4765.5
2024-01-17 11:33:02,-482083930.9418,4730.68,4765
2024-01-17 11:34:04,-425211209.486734,4730.95,4763.75
2024-01-17 11:35:02,-447154456.843478,4730.49,4763.5
2024-01-17 11:36:03,-401547313.09197,4729.55,4764.25
2024-01-17 11:37:02,-407959655.002192,4730.16,4763.75
2024-01-17 11:38:01,-393774064.150834,4729.94,4762.5
2024-01-17 11:39:02,-373509224.605359,4730.44,4762.5
2024-01-17 11:40:02,-348456268.72469,4730.14,4762.75
2024-01-17 11:41:03,-391130344.706526,4730.16,4762.75
2024-01-17 11:42:02,-386729376.911464,4730.26,4764.25
2024-01-17 11:41:59,-422826174.198052,4730.15,4762.75
2024-01-17 11:44:03,-465007611.134685,4727.3,4763
2024-01-17 11:45:02,-395293584.226525,4728.65,4762.5
2024-01-17 11:46:02,-377973923.45485,4728.62,4761.25
2024-01-17 11:47:02,-359885739.884832,4728.4,4762.25
2024-01-17 11:48:03,-441176053.566206,4729.53,4762.25
2024-01-17 11:49:03,-424208259.301027,4731.14,4762.5
